City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
168,Lavrentiya,RU,65.5833,-171.0,26.76,85,100,13.42,overcast clouds
169,Castro,BR,-24.7911,-50.0119,61.56,97,11,0.47,few clouds
170,Byron Bay,AU,-28.65,153.6167,69.71,70,99,12.95,overcast clouds
171,Marshall,US,34.3834,-86.3333,75.51,59,0,10.36,clear sky
172,Boralday,KZ,43.3578,76.8594,49.86,71,75,2.24,broken clouds
173,Tura,IN,25.5198,90.2201,74.44,93,79,9.82,broken clouds
174,Pochutla,MX,15.7432,-96.4661,82.81,67,99,7.09,overcast clouds
175,Ishigaki,JP,24.3448,124.1572,77.13,88,75,3.44,broken clouds
176,Atuona,PF,-9.8,-139.0333,78.98,78,69,18.3,light rain
177,Sechura,PE,-5.5569,-80.8222,70.77,71,100,17.31,overcast clouds
178,Guerrero Negro,MX,27.9769,-114.0611,63.28,58,56,20.62,broken clouds
179,Alghero,IT,40.5589,8.3181,53.69,82,0,10.36,clear sky
180,Norheimsund,NO,60.3709,6.1456,43.21,97,100,5.03,overcast clouds
181,Kavaratti,IN,10.5669,72.642,80.58,82,100,21.36,overcast clouds
182,Domoni,KM,-12.2569,44.5319,78.98,80,68,3.65,broken clouds
183,Lukulu,ZM,-14.3707,23.242,66.22,79,100,5.1,overcast clouds
184,Mandalgovi,MN,45.7625,106.2708,30.13,42,100,16.55,overcast clouds
185,Luderitz,NA,-26.6481,15.1594,60.42,83,6,10.09,clear sky
186,Irara,BR,-12.05,-38.7667,71.06,82,15,6.4,light rain
187,Atambua,ID,-9.1061,124.8925,81.1,68,100,1.43,overcast clouds
188,Tahoua,NE,14.8888,5.2692,90.14,21,46,9.08,scattered clouds
189,Taoudenni,ML,22.6783,-3.9836,80.08,14,0,10.42,clear sky
190,Russell,US,32.3502,-85.1999,74.8,67,20,11.5,few clouds
191,Kloulklubed,PW,7.0419,134.2556,81.1,80,100,17.07,light rain
192,Puerto Narino,CO,-3.7703,-70.3831,75.15,96,100,1.3,light rain
193,Saskylakh,RU,71.9167,114.0833,1.06,95,100,9.95,overcast clouds
194,Tera,NE,14.0078,0.7531,93.49,27,100,10.54,overcast clouds
195,Horia,RO,45.0167,28.45,49.23,56,100,13.98,overcast clouds
196,Serebryansk,KZ,49.6925,83.2892,32.95,76,0,3.44,clear sky
197,Geraldton,AU,-28.7667,114.6,66.61,77,0,11.5,clear sky
198,Yeppoon,AU,-23.1333,150.7333,78.58,71,26,14.12,scattered clouds
199,Kirakira,SB,-10.4544,161.9205,86.2,67,25,8.75,scattered clouds
200,Ende,ID,-8.8432,121.6623,81.81,81,98,0.18,overcast clouds
201,Nombre De Dios,MX,23.85,-104.2333,75.81,8,53,13.49,broken clouds
202,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.3,79,25,6.29,scattered clouds
203,Hithadhoo,MV,-0.6,73.0833,83.75,73,100,9.8,overcast clouds
204,Inirida,CO,3.8653,-67.9239,77.23,89,100,2.84,overcast clouds
205,Shu,KZ,43.5983,73.7614,54.97,55,100,3.83,overcast clouds
206,Juneau,US,58.3019,-134.4197,42.8,25,20,11.5,few clouds
207,Vrangel,RU,42.7297,133.0839,42.66,65,100,5.12,overcast clouds
208,Tupelo,US,34.2576,-88.7034,73.69,78,100,6.91,thunderstorm with rain
209,Tuatapere,NZ,-46.1333,167.6833,61.0,56,61,2.01,broken clouds
210,Grand Gaube,MU,-20.0064,57.6608,79.38,83,29,8.99,scattered clouds
211,Dneprovskaya,RU,45.6236,38.8081,41.85,91,100,28.48,light rain
212,Semey,KZ,50.4111,80.2275,32.22,86,0,6.71,clear sky
213,Solenzo,BF,12.1833,-4.0833,90.95,20,99,7.18,overcast clouds
214,Mar Del Plata,AR,-38.0023,-57.5575,57.87,82,0,5.01,clear sky
215,Norman Wells,CA,65.282,-126.8329,26.64,50,100,21.85,overcast clouds
216,Leh,IN,34.1667,77.5833,31.59,82,81,3.42,broken clouds
217,Darnah,LY,32.767,22.6367,57.33,74,100,12.28,overcast clouds
218,Sioux Lookout,CA,50.1001,-91.917,30.27,93,100,6.91,snow
219,Kibala,TD,9.1104,18.3463,82.35,69,0,6.91,clear sky
220,Zhanaozen,KZ,43.3,52.8,49.05,61,0,12.01,clear sky
221,Parry Sound,CA,45.3501,-80.033,51.85,87,100,10.85,overcast clouds
222,Porto Novo,BJ,6.4965,2.6036,80.28,82,100,7.2,overcast clouds
223,Chokurdakh,RU,70.6333,147.9167,2.89,87,6,3.96,clear sky
224,Evensk,RU,61.95,159.2333,26.8,86,100,9.93,overcast clouds
225,Baykit,RU,61.67,96.37,36.03,88,100,11.7,overcast clouds
226,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,77.86,73,52,3.91,broken clouds
227,Nanortalik,GL,60.1432,-45.2371,35.06,83,100,2.62,overcast clouds
228,Gweru,ZW,-19.45,29.8167,60.26,83,34,4.14,scattered clouds
229,Calvia,ES,39.5657,2.5062,58.91,73,100,16.91,overcast clouds
