City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
418,Marsh Harbour,BS,75.18,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
426,Guarapari,BR,78.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
428,Point Pedro,LK,81.66,overcast clouds,9.8167,80.2333,Gtr homes
433,Victoria,HK,79.95,clear sky,22.2855,114.1577,Mini Hotel Central
450,Lorengau,PG,85.77,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
453,Metro,ID,79.95,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
454,Mattru,SL,76.64,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
455,Kupang,ID,83.41,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
458,Cabo San Lucas,MX,78.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
463,Alice Town,BS,76.15,broken clouds,25.7167,-79.3,Bimini Big Game Club Resort & Marina
465,Tuy Hoa,VN,80.46,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
467,Olinda,BR,82.13,clear sky,-8.0089,-34.8553,Flat Quatro Rodas Olinda
468,Kununurra,AU,80.58,overcast clouds,-15.7667,128.7333,Hotel Kununurra
470,Kagal,IN,75.27,overcast clouds,16.5833,74.3167,"Hotel Ashoka Family AC Restaurant, Lodging & Bar"
474,Pizarro,CO,78.31,light rain,4.9533,-77.366,Hotel Limonar
485,Ouanaminthe,HT,79.68,broken clouds,19.55,-71.7333,Chylton Hotel
486,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
492,Auki,SB,85.91,scattered clouds,-8.7676,160.7034,Auki Motel
493,Gizo,SB,84.96,few clouds,-8.103,156.8419,Imagination Island
494,Ixtapa,MX,76.23,clear sky,20.7,-105.2,hotel la terminal
499,Sarangani,PH,82.87,overcast clouds,5.4033,125.4636,Ballistic Islet
500,Santa Rosa,PH,87.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
503,Fayetteville,US,79.32,clear sky,35.0527,-78.8784,American Eagle Inn
505,Nicoya,CR,81.99,broken clouds,10.1483,-85.452,Las Cabinas Del Sueño
506,Banda Aceh,ID,82.2,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
509,Paracuru,BR,82.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
511,Palmerston,AU,86.94,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
516,Sinnamary,GF,76.78,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
520,Haapiti,PF,79.72,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
